undertone,body_type,occasion,n_items,has_outerwear,has_accessory,color_contrast,pattern_mix,undertone_enc,body_type_enc,occasion_enc,compatibility_score,is_compatible
cool,apple,party,4,1,1,0.11,1,1,4,2,0.7665,1
neutral,apple,sports,5,0,1,0.26,0,2,4,4,0.6956,0
warm,oval,casual,5,0,1,0.56,0,0,5,0,0.7401,0
neutral,pear,ethnic,3,1,1,0.47,1,2,2,3,0.791,1
cool,apple,formal,3,0,0,0.18,0,1,4,1,0.7316,0
warm,inverted_triangle,formal,5,1,0,0.19,1,0,1,1,0.918,1
neutral,oval,casual,4,0,0,0.16,0,2,5,0,0.8165,1
neutral,apple,casual,5,0,1,0.33,0,2,4,0,0.7555,1
warm,hourglass,sports,5,1,1,0.69,0,0,0,4,0.7539,1
neutral,oval,formal,3,0,1,0.7,0,2,5,1,0.7191,0
warm,inverted_triangle,ethnic,5,0,1,0.37,0,0,1,3,0.8472,1
warm,apple,ethnic,5,1,0,0.43,0,0,4,3,0.6948,0
cool,pear,casual,5,1,0,0.6,1,1,2,0,0.7242,0
cool,hourglass,formal,4,0,0,0.65,1,1,0,1,0.99,1
warm,hourglass,casual,5,1,1,0.14,0,0,0,0,0.956,1
warm,rectangle,formal,3,0,1,0.9,0,0,3,1,0.8342,1
warm,rectangle,party,4,1,1,0.62,0,0,3,2,0.8088,1
warm,hourglass,casual,4,0,1,0.34,1,0,0,0,0.9339,1
cool,inverted_triangle,sports,5,0,1,0.47,1,1,1,4,0.7892,1
cool,rectangle,sports,4,1,1,0.31,0,1,3,4,0.7455,0
cool,inverted_triangle,formal,5,0,1,0.87,1,1,1,1,0.8605,1
cool,rectangle,party,4,0,0,0.5,0,1,3,2,0.6942,0
cool,rectangle,ethnic,4,1,1,0.73,0,1,3,3,0.773,1
neutral,inverted_triangle,ethnic,3,0,0,0.64,0,2,1,3,0.8887,1
warm,oval,sports,5,0,1,0.46,0,0,5,4,0.7119,0
warm,oval,casual,4,1,1,0.64,0,0,5,0,0.805,1
cool,hourglass,sports,4,0,1,0.67,0,1,0,4,0.7366,0
neutral,rectangle,formal,3,0,1,0.81,0,2,3,1,0.767,1
cool,rectangle,formal,3,1,1,0.65,1,1,3,1,0.7657,1
cool,pear,party,5,1,1,0.11,0,1,2,2,0.9612,1
warm,hourglass,casual,5,0,1,0.64,0,0,0,0,0.9882,1
neutral,hourglass,formal,5,0,0,0.26,0,2,0,1,0.99,1
cool,inverted_triangle,sports,3,0,1,0.35,1,1,1,4,0.7528,1
warm,rectangle,ethnic,4,0,1,0.56,0,0,3,3,0.7446,0
neutral,hourglass,casual,3,0,0,0.47,0,2,0,0,0.7404,0
neutral,hourglass,formal,3,0,1,0.4,0,2,0,1,0.99,1
cool,pear,sports,3,1,0,0.86,1,1,2,4,0.6952,0
warm,oval,party,5,1,1,0.54,1,0,5,2,0.6855,0
warm,oval,ethnic,3,0,1,0.13,0,0,5,3,0.7177,0
neutral,apple,formal,4,0,1,0.54,0,2,4,1,0.7243,0
cool,inverted_triangle,formal,3,0,1,0.7,0,1,1,1,0.7599,1
neutral,oval,ethnic,5,0,0,0.89,0,2,5,3,0.7204,0
neutral,inverted_triangle,casual,3,1,1,0.81,0,2,1,0,0.7786,1
cool,apple,sports,4,1,1,0.8,1,1,4,4,0.6584,0
warm,hourglass,sports,5,0,0,0.73,0,0,0,4,0.7754,1
warm,oval,casual,5,0,0,0.1,0,0,5,0,0.6764,0
neutral,pear,ethnic,3,0,0,0.66,1,2,2,3,0.723,0
neutral,oval,sports,3,0,1,0.25,1,2,5,4,0.7479,0
neutral,oval,casual,4,1,1,0.6,0,2,5,0,0.7754,1
cool,hourglass,party,3,0,1,0.84,1,1,0,2,0.8172,1
cool,hourglass,sports,4,0,0,0.18,1,1,0,4,0.7102,0
warm,pear,party,4,0,0,0.18,0,0,2,2,0.8175,1
cool,apple,party,5,0,1,0.88,0,1,4,2,0.7083,0
cool,oval,casual,5,0,0,0.34,0,1,5,0,0.7378,0
warm,rectangle,formal,5,1,1,0.88,0,0,3,1,0.8423,1
neutral,hourglass,party,5,0,1,0.44,0,2,0,2,0.7682,1
warm,pear,ethnic,4,1,0,0.28,0,0,2,3,0.8031,1
cool,pear,sports,4,0,1,0.56,1,1,2,4,0.7267,0
warm,hourglass,formal,3,1,0,0.2,0,0,0,1,0.99,1
cool,hourglass,sports,5,0,0,0.38,0,1,0,4,0.7309,0
warm,oval,party,5,1,0,0.61,1,0,5,2,0.8094,1
warm,rectangle,party,3,0,1,0.68,0,0,3,2,0.8165,1
neutral,hourglass,sports,5,0,1,0.53,1,2,0,4,0.8409,1
warm,inverted_triangle,formal,3,0,0,0.82,0,0,1,1,0.9673,1
cool,pear,party,3,0,1,0.53,1,1,2,2,0.9509,1
neutral,apple,party,5,1,1,0.33,0,2,4,2,0.6773,0
cool,hourglass,ethnic,3,0,0,0.87,1,1,0,3,0.8807,1
warm,hourglass,party,5,0,0,0.82,0,0,0,2,0.8444,1
warm,rectangle,ethnic,3,1,1,0.64,0,0,3,3,0.7209,0
warm,hourglass,casual,3,1,0,0.83,0,0,0,0,0.99,1
cool,hourglass,sports,4,0,0,0.74,0,1,0,4,0.7143,0
cool,rectangle,sports,4,0,0,0.35,0,1,3,4,0.7137,0
warm,oval,sports,3,0,0,0.7,0,0,5,4,0.7699,1
cool,pear,formal,3,0,0,0.65,0,1,2,1,0.7324,0
cool,rectangle,ethnic,3,0,1,0.42,0,1,3,3,0.8403,1
neutral,apple,formal,3,0,1,0.55,1,2,4,1,0.764,1
cool,hourglass,casual,5,0,1,0.76,1,1,0,0,0.7207,0
warm,inverted_triangle,casual,3,1,1,0.76,0,0,1,0,0.99,1
neutral,rectangle,sports,3,1,0,0.52,0,2,3,4,0.682,0
cool,rectangle,ethnic,3,0,1,0.53,0,1,3,3,0.8529,1
neutral,apple,casual,4,0,0,0.17,0,2,4,0,0.7399,0
cool,pear,formal,3,1,1,0.63,0,1,2,1,0.7198,0
warm,rectangle,casual,4,0,0,0.22,1,0,3,0,0.7687,1
cool,oval,sports,3,1,1,0.63,0,1,5,4,0.7855,1
warm,rectangle,formal,4,1,1,0.2,0,0,3,1,0.7677,1
cool,hourglass,party,4,0,0,0.62,0,1,0,2,0.8277,1
neutral,hourglass,formal,5,0,1,0.89,0,2,0,1,0.99,1
neutral,oval,sports,4,1,1,0.27,0,2,5,4,0.7061,0
warm,hourglass,formal,3,1,0,0.66,0,0,0,1,0.99,1
warm,hourglass,ethnic,3,1,1,0.64,0,0,0,3,0.896,1
neutral,pear,formal,4,1,1,0.18,0,2,2,1,0.701,0
warm,rectangle,casual,5,1,0,0.43,0,0,3,0,0.8381,1
neutral,hourglass,casual,4,0,1,0.38,0,2,0,0,0.8091,1
cool,apple,casual,5,0,0,0.3,1,1,4,0,0.6988,0
warm,inverted_triangle,casual,5,0,1,0.27,0,0,1,0,0.9759,1
cool,rectangle,sports,3,1,1,0.53,1,1,3,4,0.737,0
cool,apple,ethnic,5,0,0,0.34,0,1,4,3,0.753,1
warm,pear,party,4,0,1,0.31,1,0,2,2,0.7626,1
cool,oval,sports,5,0,1,0.11,0,1,5,4,0.7905,1
cool,inverted_triangle,party,5,0,1,0.56,0,1,1,2,0.8372,1
cool,inverted_triangle,casual,4,0,0,0.23,0,1,1,0,0.8778,1
warm,inverted_triangle,party,3,0,0,0.43,0,0,1,2,0.9604,1
warm,hourglass,party,4,0,0,0.62,1,0,0,2,0.8099,1
neutral,pear,casual,4,0,0,0.47,0,2,2,0,0.6872,0
cool,inverted_triangle,ethnic,4,1,0,0.1,1,1,1,3,0.8122,1
neutral,oval,casual,5,0,0,0.48,1,2,5,0,0.7894,1
warm,oval,ethnic,5,1,1,0.47,0,0,5,3,0.8332,1
warm,hourglass,formal,5,1,1,0.82,0,0,0,1,0.99,1
neutral,apple,casual,3,0,1,0.21,0,2,4,0,0.7914,1
cool,rectangle,casual,4,1,1,0.82,1,1,3,0,0.7309,0
warm,pear,party,3,0,0,0.81,1,0,2,2,0.7116,0
neutral,apple,ethnic,5,0,0,0.78,1,2,4,3,0.6955,0
neutral,inverted_triangle,sports,4,1,1,0.85,1,2,1,4,0.7536,1
neutral,apple,formal,5,0,1,0.71,0,2,4,1,0.6845,0
warm,oval,sports,3,0,1,0.37,1,0,5,4,0.7699,1
warm,apple,party,4,0,1,0.43,0,0,4,2,0.7516,1
neutral,inverted_triangle,ethnic,3,0,0,0.23,0,2,1,3,0.7433,0
warm,rectangle,casual,5,0,0,0.7,0,0,3,0,0.8833,1
neutral,rectangle,party,3,0,1,0.5,0,2,3,2,0.7929,1
warm,oval,casual,3,0,1,0.84,0,0,5,0,0.7407,0
warm,rectangle,ethnic,5,0,0,0.88,1,0,3,3,0.7787,1
warm,inverted_triangle,ethnic,5,0,0,0.59,1,0,1,3,0.7968,1
cool,rectangle,formal,3,0,0,0.83,1,1,3,1,0.7288,0
warm,hourglass,sports,4,0,1,0.38,1,0,0,4,0.7253,0
cool,inverted_triangle,party,4,0,0,0.54,1,1,1,2,0.7683,1
neutral,oval,ethnic,5,1,0,0.5,0,2,5,3,0.7543,1
neutral,rectangle,casual,3,1,0,0.34,1,2,3,0,0.8911,1
neutral,hourglass,sports,3,0,1,0.7,0,2,0,4,0.8313,1
warm,apple,sports,3,0,1,0.33,0,0,4,4,0.7279,0
warm,pear,sports,3,0,0,0.72,0,0,2,4,0.7636,1
neutral,rectangle,casual,4,1,1,0.26,1,2,3,0,0.8129,1
cool,apple,formal,4,0,1,0.44,0,1,4,1,0.8034,1
neutral,apple,casual,5,1,0,0.6,1,2,4,0,0.6571,0
neutral,apple,ethnic,4,1,1,0.25,0,2,4,3,0.7892,1
neutral,oval,sports,3,0,0,0.32,0,2,5,4,0.7493,0
neutral,apple,sports,4,0,0,0.22,1,2,4,4,0.781,1
cool,rectangle,sports,3,1,0,0.3,1,1,3,4,0.6926,0
cool,hourglass,casual,4,0,1,0.23,0,1,0,0,0.7819,1
warm,oval,party,5,0,1,0.56,0,0,5,2,0.7929,1
neutral,oval,formal,3,0,0,0.13,0,2,5,1,0.7167,0
warm,apple,formal,4,0,0,0.19,1,0,4,1,0.7439,0
warm,rectangle,formal,4,1,0,0.53,0,0,3,1,0.7342,0
cool,apple,party,4,1,0,0.54,1,1,4,2,0.7387,0
warm,pear,party,5,0,0,0.34,1,0,2,2,0.6995,0
warm,hourglass,sports,4,0,0,0.64,1,0,0,4,0.7931,1
neutral,rectangle,ethnic,3,1,1,0.88,0,2,3,3,0.7149,0
cool,rectangle,casual,4,0,1,0.67,1,1,3,0,0.7513,1
neutral,hourglass,casual,4,1,1,0.61,0,2,0,0,0.8112,1
warm,apple,ethnic,4,0,1,0.25,0,0,4,3,0.8058,1
cool,apple,sports,3,1,0,0.13,0,1,4,4,0.7781,1
warm,pear,ethnic,3,1,1,0.35,0,0,2,3,0.8195,1
warm,pear,sports,5,0,1,0.78,0,0,2,4,0.7416,0
cool,hourglass,formal,5,1,0,0.19,0,1,0,1,0.99,1
warm,oval,ethnic,4,0,1,0.57,0,0,5,3,0.7892,1
warm,pear,party,4,0,1,0.87,0,0,2,2,0.6953,0
warm,oval,ethnic,3,1,1,0.33,0,0,5,3,0.7849,1
neutral,apple,formal,4,1,1,0.32,1,2,4,1,0.7878,1
neutral,oval,casual,3,1,0,0.79,0,2,5,0,0.8012,1
neutral,oval,formal,3,0,1,0.31,0,2,5,1,0.7924,1
cool,rectangle,party,5,0,1,0.45,1,1,3,2,0.8065,1
cool,inverted_triangle,ethnic,3,0,1,0.3,1,1,1,3,0.8073,1
warm,inverted_triangle,sports,3,1,1,0.89,0,0,1,4,0.7926,1
cool,rectangle,sports,5,1,1,0.68,1,1,3,4,0.7391,0
neutral,apple,formal,4,1,1,0.58,0,2,4,1,0.8352,1
neutral,oval,party,5,1,1,0.61,1,2,5,2,0.7397,0
neutral,rectangle,formal,3,1,0,0.85,1,2,3,1,0.8122,1
warm,inverted_triangle,formal,4,1,0,0.56,0,0,1,1,0.9895,1
cool,oval,sports,5,0,1,0.59,0,1,5,4,0.791,1
warm,oval,party,3,0,1,0.29,0,0,5,2,0.7733,1
neutral,hourglass,sports,4,0,1,0.35,0,2,0,4,0.7673,1
warm,rectangle,formal,3,0,1,0.59,0,0,3,1,0.7815,1
neutral,oval,ethnic,3,1,1,0.6,1,2,5,3,0.7863,1
warm,oval,casual,3,1,1,0.51,1,0,5,0,0.7524,1
warm,apple,ethnic,5,0,0,0.64,0,0,4,3,0.7881,1
cool,pear,casual,3,0,0,0.45,1,1,2,0,0.7214,0
neutral,hourglass,sports,4,1,1,0.46,0,2,0,4,0.7561,1
neutral,hourglass,ethnic,4,0,0,0.57,0,2,0,3,0.8198,1
neutral,pear,casual,5,0,1,0.38,0,2,2,0,0.8069,1
cool,pear,formal,3,0,1,0.37,1,1,2,1,0.7416,0
neutral,apple,sports,4,1,1,0.8,0,2,4,4,0.7625,1
cool,inverted_triangle,ethnic,4,0,0,0.69,1,1,1,3,0.8701,1
neutral,hourglass,party,4,1,0,0.56,0,2,0,2,0.8026,1
warm,apple,ethnic,5,1,0,0.39,1,0,4,3,0.7353,0
cool,rectangle,ethnic,3,0,1,0.49,1,1,3,3,0.8401,1
warm,rectangle,formal,3,0,1,0.45,1,0,3,1,0.7113,0
cool,hourglass,casual,5,0,1,0.32,0,1,0,0,0.8402,1
cool,hourglass,formal,5,1,1,0.67,0,1,0,1,0.99,1
cool,inverted_triangle,ethnic,3,1,1,0.3,1,1,1,3,0.7913,1
neutral,oval,casual,3,1,1,0.41,1,2,5,0,0.7266,0
warm,inverted_triangle,formal,3,1,1,0.74,0,0,1,1,0.99,1
warm,inverted_triangle,sports,4,0,0,0.19,1,0,1,4,0.7847,1
cool,oval,formal,3,0,0,0.29,0,1,5,1,0.7372,0
warm,hourglass,casual,3,0,0,0.62,0,0,0,0,0.99,1
warm,hourglass,party,3,1,1,0.63,0,0,0,2,0.8478,1
cool,oval,formal,4,0,0,0.58,1,1,5,1,0.7527,1
warm,pear,formal,5,0,0,0.37,0,0,2,1,0.7457,0
warm,pear,casual,3,1,0,0.49,0,0,2,0,0.8595,1
neutral,hourglass,party,3,1,1,0.34,1,2,0,2,0.7749,1
cool,pear,ethnic,3,0,1,0.55,0,1,2,3,0.7611,1
neutral,hourglass,sports,4,0,1,0.15,1,2,0,4,0.7777,1
neutral,rectangle,casual,5,0,0,0.27,0,2,3,0,0.8902,1
cool,rectangle,ethnic,3,1,0,0.77,0,1,3,3,0.7997,1
cool,rectangle,casual,3,0,0,0.61,0,1,3,0,0.8017,1
cool,apple,formal,4,0,1,0.29,0,1,4,1,0.7647,1
cool,oval,sports,4,0,1,0.37,1,1,5,4,0.7261,0
warm,hourglass,sports,3,1,0,0.56,0,0,0,4,0.7229,0
cool,apple,sports,4,1,1,0.2,0,1,4,4,0.7371,0
warm,apple,formal,5,1,0,0.57,1,0,4,1,0.8141,1
cool,oval,formal,3,0,1,0.68,0,1,5,1,0.7844,1
warm,rectangle,casual,3,0,1,0.25,0,0,3,0,0.9056,1
neutral,hourglass,party,5,1,0,0.41,1,2,0,2,0.7942,1
warm,hourglass,ethnic,4,0,1,0.38,0,0,0,3,0.804,1
neutral,pear,sports,3,1,1,0.82,0,2,2,4,0.7906,1
neutral,inverted_triangle,party,4,1,1,0.81,0,2,1,2,0.7231,0
neutral,pear,casual,5,0,1,0.76,1,2,2,0,0.7818,1
cool,hourglass,formal,4,0,1,0.32,1,1,0,1,0.99,1
warm,hourglass,casual,3,0,1,0.5,0,0,0,0,0.9835,1
cool,rectangle,ethnic,3,1,1,0.79,1,1,3,3,0.8489,1
warm,inverted_triangle,party,5,1,0,0.46,0,0,1,2,0.9562,1
warm,hourglass,ethnic,4,0,1,0.19,0,0,0,3,0.7847,1
cool,oval,sports,4,1,0,0.12,1,1,5,4,0.7074,0
neutral,oval,ethnic,3,0,1,0.36,0,2,5,3,0.8212,1
cool,apple,sports,4,1,1,0.76,0,1,4,4,0.7271,0
neutral,inverted_triangle,formal,5,0,1,0.31,0,2,1,1,0.8581,1
warm,pear,casual,5,1,1,0.81,0,0,2,0,0.878,1
warm,rectangle,party,3,0,0,0.13,0,0,3,2,0.7846,1
warm,rectangle,party,3,1,0,0.62,0,0,3,2,0.704,0
warm,inverted_triangle,casual,5,1,1,0.46,0,0,1,0,0.99,1
warm,pear,sports,5,0,1,0.44,0,0,2,4,0.7453,0
cool,rectangle,casual,3,1,1,0.35,0,1,3,0,0.6717,0
warm,inverted_triangle,party,3,0,1,0.88,1,0,1,2,0.9152,1
neutral,hourglass,casual,5,1,1,0.87,0,2,0,0,0.7722,1
neutral,rectangle,party,5,1,1,0.62,1,2,3,2,0.7041,0
neutral,pear,sports,3,1,0,0.53,0,2,2,4,0.7395,0
neutral,inverted_triangle,casual,5,1,1,0.88,0,2,1,0,0.7397,0
warm,hourglass,sports,5,1,1,0.26,0,0,0,4,0.7178,0
neutral,oval,formal,4,0,1,0.39,1,2,5,1,0.7172,0
neutral,hourglass,formal,5,1,1,0.12,0,2,0,1,0.99,1
cool,pear,formal,3,0,0,0.21,0,1,2,1,0.7326,0
cool,rectangle,formal,4,0,1,0.87,0,1,3,1,0.8237,1
cool,apple,ethnic,5,0,1,0.74,0,1,4,3,0.8104,1
warm,apple,ethnic,5,0,1,0.82,0,0,4,3,0.777,1
neutral,apple,ethnic,5,0,1,0.68,1,2,4,3,0.6961,0
cool,hourglass,party,3,0,0,0.11,1,1,0,2,0.8666,1
cool,apple,party,3,0,0,0.63,0,1,4,2,0.7621,1
cool,inverted_triangle,party,5,1,0,0.43,1,1,1,2,0.7385,0
warm,rectangle,sports,3,0,1,0.6,0,0,3,4,0.79,1
warm,rectangle,casual,3,1,1,0.71,0,0,3,0,0.774,1
warm,apple,formal,3,0,0,0.87,0,0,4,1,0.7825,1
cool,oval,party,3,1,0,0.76,1,1,5,2,0.6914,0
cool,inverted_triangle,casual,3,0,1,0.33,0,1,1,0,0.8992,1
neutral,rectangle,formal,5,0,1,0.11,0,2,3,1,0.8465,1
warm,pear,party,4,1,0,0.67,1,0,2,2,0.7364,0
neutral,oval,casual,5,1,0,0.83,0,2,5,0,0.732,0
neutral,oval,party,4,0,1,0.54,1,2,5,2,0.7664,1
neutral,rectangle,ethnic,3,0,1,0.75,1,2,3,3,0.7456,0
warm,oval,sports,5,1,0,0.35,1,0,5,4,0.752,1
neutral,rectangle,casual,5,0,1,0.19,0,2,3,0,0.8204,1
warm,hourglass,formal,5,1,1,0.69,0,0,0,1,0.99,1
warm,inverted_triangle,party,4,0,1,0.57,0,0,1,2,0.8982,1
warm,oval,party,5,1,1,0.27,1,0,5,2,0.6896,0
cool,rectangle,casual,5,0,1,0.31,0,1,3,0,0.7337,0
neutral,inverted_triangle,party,5,1,0,0.36,1,2,1,2,0.859,1
cool,oval,casual,5,0,1,0.59,0,1,5,0,0.8126,1
neutral,rectangle,formal,3,0,1,0.12,0,2,3,1,0.7347,0
warm,rectangle,formal,5,0,1,0.47,0,0,3,1,0.8274,1
cool,pear,casual,5,1,0,0.79,1,1,2,0,0.6849,0
warm,inverted_triangle,casual,5,0,1,0.17,0,0,1,0,0.9181,1
warm,apple,formal,4,0,1,0.77,0,0,4,1,0.7897,1
cool,hourglass,party,4,0,0,0.41,0,1,0,2,0.8032,1
cool,rectangle,formal,5,1,1,0.81,1,1,3,1,0.7176,0
neutral,pear,sports,5,1,1,0.35,0,2,2,4,0.7088,0
neutral,hourglass,formal,5,0,1,0.19,0,2,0,1,0.99,1
neutral,hourglass,casual,3,1,1,0.28,1,2,0,0,0.7258,0
neutral,rectangle,formal,4,0,1,0.45,0,2,3,1,0.8192,1
cool,pear,party,4,0,1,0.49,0,1,2,2,0.8352,1
warm,oval,formal,4,1,1,0.86,1,0,5,1,0.7599,1
cool,pear,casual,5,1,1,0.89,0,1,2,0,0.7044,0
warm,rectangle,ethnic,5,1,1,0.67,1,0,3,3,0.707,0
cool,oval,ethnic,5,0,1,0.42,0,1,5,3,0.7082,0
warm,oval,party,3,1,0,0.14,1,0,5,2,0.8218,1
neutral,hourglass,sports,3,0,0,0.77,1,2,0,4,0.8272,1
warm,oval,casual,4,0,0,0.5,0,0,5,0,0.691,0
cool,rectangle,casual,3,0,1,0.88,0,1,3,0,0.7045,0
cool,inverted_triangle,sports,3,1,1,0.8,0,1,1,4,0.8333,1
cool,rectangle,sports,3,0,0,0.62,0,1,3,4,0.7608,1
cool,oval,ethnic,3,0,1,0.33,0,1,5,3,0.8139,1
warm,inverted_triangle,casual,5,0,0,0.87,0,0,1,0,0.99,1
neutral,inverted_triangle,party,5,1,0,0.77,1,2,1,2,0.8459,1
neutral,rectangle,party,5,1,1,0.74,0,2,3,2,0.6901,0
neutral,apple,party,5,1,1,0.4,0,2,4,2,0.8197,1
neutral,rectangle,sports,5,1,0,0.38,1,2,3,4,0.7281,0
neutral,inverted_triangle,casual,5,0,1,0.25,0,2,1,0,0.7772,1
cool,hourglass,ethnic,3,1,0,0.46,1,1,0,3,0.8107,1
warm,rectangle,sports,5,1,0,0.32,0,0,3,4,0.7984,1
warm,hourglass,formal,5,0,1,0.27,0,0,0,1,0.9814,1
warm,oval,party,3,1,1,0.37,0,0,5,2,0.8128,1
cool,pear,formal,4,1,1,0.19,0,1,2,1,0.7918,1
warm,pear,party,4,1,1,0.85,0,0,2,2,0.6967,0
cool,rectangle,formal,5,1,1,0.48,0,1,3,1,0.7096,0
cool,oval,sports,5,0,0,0.81,0,1,5,4,0.6482,0
neutral,inverted_triangle,sports,4,1,0,0.61,0,2,1,4,0.7229,0
cool,inverted_triangle,party,3,0,1,0.35,1,1,1,2,0.8037,1
cool,hourglass,casual,3,0,0,0.69,0,1,0,0,0.8118,1
cool,pear,ethnic,3,0,1,0.12,1,1,2,3,0.8541,1
warm,pear,formal,3,1,1,0.53,1,0,2,1,0.7687,1
cool,hourglass,casual,5,0,0,0.83,1,1,0,0,0.763,1
warm,inverted_triangle,sports,3,0,1,0.54,0,0,1,4,0.7703,1
cool,hourglass,casual,5,0,0,0.76,1,1,0,0,0.8452,1
cool,hourglass,party,3,0,0,0.1,1,1,0,2,0.755,1
warm,rectangle,formal,5,0,0,0.17,1,0,3,1,0.7688,1
cool,rectangle,party,3,0,1,0.4,0,1,3,2,0.7171,0
neutral,pear,party,5,1,0,0.11,0,2,2,2,0.6968,0
neutral,pear,ethnic,4,0,1,0.62,1,2,2,3,0.8492,1
warm,hourglass,casual,3,0,1,0.84,0,0,0,0,0.9462,1
warm,inverted_triangle,formal,5,0,1,0.77,0,0,1,1,0.99,1
cool,inverted_triangle,formal,3,1,0,0.87,0,1,1,1,0.7841,1
cool,rectangle,ethnic,5,1,0,0.12,1,1,3,3,0.8025,1
warm,inverted_triangle,party,5,0,1,0.58,0,0,1,2,0.9411,1
neutral,inverted_triangle,casual,3,0,0,0.46,0,2,1,0,0.8056,1
cool,inverted_triangle,party,3,1,1,0.48,0,1,1,2,0.7816,1
warm,oval,sports,4,0,1,0.77,0,0,5,4,0.6709,0
warm,hourglass,formal,3,0,0,0.46,0,0,0,1,0.99,1
neutral,inverted_triangle,formal,5,0,1,0.5,0,2,1,1,0.8033,1
neutral,inverted_triangle,casual,5,0,1,0.23,0,2,1,0,0.71,0
cool,oval,party,5,1,0,0.33,0,1,5,2,0.8095,1
warm,apple,party,5,0,0,0.67,1,0,4,2,0.801,1
warm,oval,formal,5,1,1,0.47,0,0,5,1,0.6941,0
cool,pear,party,4,0,0,0.65,0,1,2,2,0.9372,1
warm,inverted_triangle,sports,5,0,0,0.58,1,0,1,4,0.7739,1
