r,g,b,brightness,r_g_diff,r_b_diff,g_b_diff,ita_angle,skin_class,skin_name,skin_label,undertone,best_colors
117,92,64,96.28,25,53,28,41.13,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
138,132,90,129.01,6,48,42,58.72,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
198,120,101,141.16,78,97,19,43.22,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
190,177,131,175.64,13,59,46,64.85,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
198,179,122,178.18,19,76,57,59.34,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
92,85,57,83.9,7,35,28,44.09,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
77,36,49,49.74,41,28,-13,-0.53,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
182,179,138,175.22,3,44,41,70.64,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
82,60,49,65.32,22,33,11,24.9,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
190,146,119,156.08,44,71,27,56.21,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
195,178,150,179.89,17,45,28,70.89,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
187,145,93,151.63,42,94,52,47.23,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
253,185,188,205.67,68,65,-3,67.34,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
199,183,140,182.88,16,59,43,66.06,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
201,186,123,183.3,15,78,63,59.67,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
140,102,76,110.4,38,64,26,43.34,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
78,26,56,44.97,52,22,-30,-12.88,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
127,109,75,110.51,18,52,34,49.33,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
85,87,70,84.46,-2,15,17,66.48,4,dark,Dark/Deep Brown,neutral,"White,Black,Navy,Blush,Teal"
101,70,76,79.95,31,25,-6,50.15,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
231,191,163,199.77,40,68,28,65.58,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
139,131,61,125.41,8,78,70,44.03,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
46,26,60,35.86,20,-14,-34,-45.29,5,deep,Deep/Rich,cool,"Navy,Emerald,Purple,Burgundy,Cobalt"
205,170,171,180.58,35,34,-1,75.41,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
99,86,74,88.52,13,25,12,57.02,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
242,230,188,228.8,12,54,42,73.19,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
210,174,123,178.95,36,87,51,55.99,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
206,166,138,174.77,40,68,28,61.41,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
153,93,75,108.89,60,78,18,37.05,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
99,32,49,53.97,67,50,-17,4.54,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
238,177,195,197.29,61,43,-18,73.73,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,171,128,170.58,15,58,43,64.31,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
203,153,135,165.9,50,68,18,59.6,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
183,149,144,158.6,34,39,5,70.25,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
190,147,130,157.92,43,60,17,60.93,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
188,134,92,145.36,54,96,42,44.81,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
216,189,142,191.71,27,74,47,62.43,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
69,67,31,63.49,2,38,36,19.54,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
142,128,82,126.94,14,60,46,52.05,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
162,151,109,149.5,11,53,42,61.96,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
173,135,113,143.85,38,60,22,57.41,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
156,105,103,120.02,51,53,2,52.88,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
138,122,65,120.29,16,73,57,43.92,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
113,89,74,94.47,24,39,15,48.75,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
116,99,83,102.26,17,33,16,57.73,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
191,161,154,169.17,30,37,7,72.75,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
155,116,70,122.42,39,85,46,40.43,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
134,66,38,83.14,68,96,28,19.05,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
228,215,193,216.38,13,35,22,78.12,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
211,226,202,218.78,-15,9,24,86.95,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
173,124,120,138.2,49,53,4,59.0,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
37,45,52,43.41,-8,-15,-7,-23.72,5,deep,Deep/Rich,cool,"Navy,Emerald,Purple,Burgundy,Cobalt"
227,203,169,206.3,24,58,34,69.64,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
51,28,21,34.08,23,30,7,-27.95,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
153,104,97,117.85,49,56,7,50.47,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
211,190,158,192.63,21,53,32,69.62,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
205,182,125,182.38,23,80,57,58.85,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
185,144,116,153.07,41,69,28,56.2,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
123,89,36,93.12,34,87,53,26.36,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
202,188,142,186.94,14,60,46,66.34,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
230,224,167,219.3,6,63,57,69.59,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
184,168,162,172.1,16,22,6,79.79,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
167,124,120,136.4,43,47,4,61.45,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
183,156,136,161.79,27,47,20,67.2,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
184,126,131,143.91,58,53,-5,60.56,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
151,112,73,119.22,39,78,39,41.59,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
213,217,174,210.9,-4,39,43,76.38,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
49,58,20,50.98,-9,29,38,1.94,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
195,170,150,175.2,25,45,20,70.23,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
140,109,95,116.67,31,45,14,55.98,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
37,63,35,52.03,-26,2,28,45.43,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
121,68,65,83.5,53,56,3,30.89,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
133,81,74,95.75,52,59,7,37.79,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
114,88,51,91.56,26,63,37,33.41,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
167,119,125,134.04,48,42,-6,63.45,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
125,75,37,85.62,50,88,38,22.04,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
170,124,132,138.67,46,38,-8,66.8,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
231,189,159,198.14,42,72,30,64.08,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
181,168,142,168.92,13,39,26,71.84,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
206,165,150,175.55,41,56,15,65.96,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
191,126,106,143.15,65,85,20,47.62,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
231,213,176,214.16,18,55,37,71.48,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
157,110,66,119.04,47,91,44,37.19,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
205,124,135,149.47,81,70,-11,54.86,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
175,136,117,145.49,39,58,19,58.73,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
209,221,194,214.33,-12,15,27,84.78,0,light,Fair/Light,neutral,"White,Black,Navy,Blush,Teal"
146,128,84,128.37,18,62,44,51.65,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
105,73,51,80.06,32,54,22,29.1,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
62,63,49,61.1,-1,13,14,40.49,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
255,219,169,224.06,36,86,50,63.71,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
146,95,85,109.11,51,61,10,44.1,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
188,126,107,142.37,62,81,19,48.75,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
218,210,182,209.2,8,36,28,77.26,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
68,66,10,60.21,2,58,56,9.98,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
148,101,70,111.52,47,78,31,38.26,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
242,215,170,217.94,27,72,45,66.79,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
244,232,169,228.41,12,75,63,67.2,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
75,57,48,61.36,18,27,9,22.82,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
130,82,54,93.16,48,76,28,29.59,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
148,115,99,123.04,33,49,16,56.14,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
132,78,63,92.44,54,69,15,31.59,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
134,104,63,108.3,30,71,41,39.39,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
74,28,41,43.24,46,33,-13,-11.58,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
104,89,65,90.75,15,39,24,46.26,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
43,63,33,53.6,-20,10,30,19.8,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
214,189,183,195.79,25,31,6,78.0,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
243,194,185,207.62,49,58,9,69.8,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
118,68,54,81.35,50,64,14,26.1,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
54,54,37,52.06,0,17,17,6.91,5,deep,Deep/Rich,neutral,"White,Black,Navy,Blush,Teal"
243,233,187,230.75,10,56,46,72.79,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
115,76,68,86.75,39,47,8,38.02,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
161,99,84,115.83,62,77,15,40.53,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
232,206,190,211.95,26,42,16,75.46,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
75,56,17,57.24,19,58,39,7.12,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
251,182,156,199.67,69,95,26,57.6,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
143,130,103,130.81,13,40,27,63.67,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
99,74,55,79.31,25,44,19,33.67,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
128,127,76,121.48,1,52,51,53.97,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
119,60,70,78.78,59,49,-10,30.43,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
239,202,168,209.19,37,71,34,65.96,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
227,190,177,199.58,37,50,13,71.52,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
134,121,70,119.07,13,64,51,47.18,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
112,60,71,76.8,52,41,-11,33.17,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
231,198,169,204.56,33,62,29,68.14,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
234,200,190,209.03,34,44,10,74.53,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
184,123,109,139.64,61,75,14,50.08,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
222,185,124,189.11,37,98,61,54.84,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
147,106,94,116.89,41,53,12,51.61,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
150,108,91,118.62,42,59,17,49.31,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
201,154,138,166.23,47,63,16,61.54,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
195,155,153,166.73,40,42,2,70.21,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
162,122,88,130.08,40,74,34,47.26,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
96,62,20,67.38,34,76,42,12.88,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
163,98,79,115.27,65,84,19,37.85,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
172,159,90,155.02,13,82,69,52.02,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
234,226,193,224.63,8,41,33,76.79,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
193,153,137,163.14,40,56,16,63.67,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
159,128,121,136.47,31,38,7,66.28,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
234,201,186,209.16,33,48,15,73.22,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
135,131,83,126.72,4,52,48,55.87,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
188,151,95,155.68,37,93,56,48.65,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
192,160,128,165.92,32,64,32,61.1,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
135,117,89,119.19,18,46,28,56.38,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
207,168,150,177.61,39,57,18,65.93,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
191,148,109,156.41,43,82,39,52.38,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
166,109,71,121.71,57,95,38,37.05,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
61,28,25,37.52,33,36,3,-19.12,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
229,173,164,188.72,56,65,9,64.89,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
199,173,142,177.24,26,57,31,65.87,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
139,121,78,121.48,18,61,43,49.52,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,158,136,172.24,56,78,22,57.46,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
205,228,165,213.94,-23,40,63,76.29,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
209,208,162,203.05,1,47,46,72.93,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,153,101,156.94,33,85,52,51.52,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
233,188,186,201.23,45,47,2,72.74,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
69,38,29,46.24,31,40,9,-5.37,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
218,201,160,201.41,17,58,41,69.04,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
130,83,80,96.71,47,50,3,43.05,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
238,199,168,207.13,39,70,31,65.99,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
37,23,50,30.26,14,-13,-27,-56.63,5,deep,Deep/Rich,cool,"Navy,Emerald,Purple,Burgundy,Cobalt"
176,149,133,155.25,27,43,16,67.78,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
93,61,11,64.87,32,82,50,10.28,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
255,222,158,224.57,33,97,64,60.94,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
217,159,125,172.47,58,92,34,53.09,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
67,37,43,46.65,30,24,-6,-7.95,5,deep,Deep/Rich,warm,"Camel,Rust,Olive,Mustard,Terracotta"
214,186,167,192.21,28,47,19,71.71,0,light,Fair/Light,warm,"Camel,Rust,Olive,Mustard,Terracotta"
178,130,109,141.96,48,69,21,53.12,2,medium,Medium/Wheatish,warm,"Camel,Rust,Olive,Mustard,Terracotta"
146,90,100,107.88,56,46,-10,51.52,3,medium_dark,Medium Dark,warm,"Camel,Rust,Olive,Mustard,Terracotta"
216,164,163,179.43,52,53,1,67.73,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
186,165,143,168.77,21,43,22,70.1,1,light_medium,Light Medium,warm,"Camel,Rust,Olive,Mustard,Terracotta"
126,63,78,83.55,63,48,-15,34.95,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
105,77,46,81.84,28,59,31,28.35,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
94,74,47,76.9,20,47,27,29.78,4,dark,Dark/Deep Brown,warm,"Camel,Rust,Olive,Mustard,Terracotta"
